customer_id,first_name,last_name,email,join_date
72,Loretta,Shaw,ashleyatkinson@example.net,2025-08-17
73,Stephanie,Jacobson,patrick21@example.net,2025-06-09
74,Linda,Padilla,brian63@example.org,2025-03-18
75,Kelly,Collins,cassie99@example.com,2025-03-31
76,Keith,Wilson,anthony47@example.com,2025-01-10
77,Jennifer,Hendricks,michaelpugh@example.com,2025-02-14
78,Michael,Phillips,eringuerrero@example.org,2025-02-27
79,Scott,Mendez,lauren11@example.com,2025-06-29
80,Jonathan,Robinson,normanbowers@example.org,2025-04-29
81,Timothy,Anderson,gstewart@example.org,2024-11-18
82,James,Hernandez,hahnsean@example.com,2025-05-09
83,Amanda,Adkins,andersonjacob@example.com,2025-02-02
84,Sarah,Obrien,fgarcia@example.com,2025-06-07
85,Heather,Perry,carlsonkristen@example.com,2025-07-31
86,Derrick,Dunn,carterpaul@example.org,2025-02-22
87,Christina,Ruiz,ashleyjackson@example.com,2025-02-15
88,Brenda,Medina,dominicturner@example.com,2024-09-12
89,John,Beck,bryanhamilton@example.com,2024-11-28
90,Elizabeth,Robinson,todd15@example.com,2024-12-21
91,Amanda,Wright,jennifersimpson@example.net,2025-05-26
92,Dana,Fischer,stephentaylor@example.org,2025-06-29
93,Brian,Marks,ncook@example.com,2025-04-10
94,Robert,Miller,scott69@example.org,2025-06-30
95,Jennifer,Griffin,malik37@example.com,2025-03-26
96,Craig,Padilla,tamaranovak@example.com,2025-01-22
97,Kelli,Miller,yfaulkner@example.org,2024-11-22
98,Adam,Elliott,nicholas65@example.org,2024-10-22
99,Andrea,Brown,brittanygardner@example.net,2025-05-14
100,Sarah,Kelley,bentonsteven@example.net,2025-03-09
